2018 Rank,City,State,2018 Estimate,2010 Census,Change %,2016 land area(sq mi),2016 land area (km sq),2016 population density (/sq mi),2016 population density (/km sq),Location,Summary,Latitude,Longitude
1,New York City,New York,8398748,8175133,+2.74,301.5  ,780.9 ,"28,317 ","10,933", ﻿40.6635°N 73.9387°W,"The City of New York, usually called either New York City (NYC) or simply New York (NY), is the most populous city in the United States. With an estimated 2018 population of 8,398,748 distributed over a land area of about 302.6 square miles (784 km2), New York is also the most densely populated major city in the United States. Located at the southern tip of the state of New York, the city is the center of the New York metropolitan area, the largest metropolitan area in the world by urban landmass and one of the world's most populous megacities, with an estimated 19,979,477 people in its 2018 Metropolitan Statistical Area and 22,679,948 residents in its Combined Statistical Area. A global power city, New York City has been described as the cultural, financial, and media capital of the world, and exerts a significant impact upon commerce, entertainment, research, technology, education, politics, tourism, art, fashion, and sports. The city's fast pace has inspired the term New York minute. Home to the headquarters of the United Nations, New York is an important center for international diplomacy.Situated on one of the world's largest natural harbors, New York City consists of five boroughs, each of which is a separate county of the State of New York. The five boroughs – Brooklyn, Queens, Manhattan, The Bronx, and Staten Island – were consolidated into a single city in 1898. The city and its metropolitan area constitute the premier gateway for legal immigration to the United States. As many as 800 languages are spoken in New York, making it the most linguistically diverse city in the world. New York City is home to more than 3.2 million residents born outside the United States, the largest foreign-born population of any city in the world.  In 2017, the New York metropolitan area produced a gross metropolitan product (GMP) of US$1.73 trillion. If greater New York City were a sovereign state, it would have the 12th highest GDP in the world. New York is home to the highest number of billionaires of any city in the world.New York City traces its origins to a trading post founded by colonists from the Dutch Republic in 1624 on Lower Manhattan; the post was named New Amsterdam in 1626. The city and its surroundings came under English control in 1664 and were renamed New York after King Charles II of England granted the lands to his brother, the Duke of York. New York served as the capital of the United States from 1785 until 1790. It has been the country's largest city since 1790. The Statue of Liberty greeted millions of immigrants as they came to the U.S. by ship in the late 19th and early 20th centuries and is an international symbol of the U.S. and its ideals of liberty and peace. In the 21st century, New York has emerged as a global node of creativity and entrepreneurship, social tolerance, and environmental sustainability, and as a symbol of freedom and cultural diversity. In 2019, New York was voted the greatest city in the world per a survey of over 30,000 people from 48 cities worldwide, citing the city's cultural diversity.Many districts and landmarks in New York City are well known, with the city having three of the world's ten most visited tourist attractions in 2013 and receiving a record 62.8 million tourists in 2017. Several sources have ranked New York the most photographed city in the world. Times Square, iconic as the world's ""heart"" and its ""Crossroads"", is the brightly illuminated hub of the Broadway Theater District, one of the world's busiest pedestrian intersections, and a major center of the world's entertainment industry. The names of many of the city's landmarks, skyscrapers, and parks are known around the world. Manhattan's real estate market is among the most expensive in the world. New York is home to the largest ethnic Chinese population outside of Asia, with multiple signature Chinatowns developing across the city. Providing continuous 24/7 service, the New York City Subway is the largest single-operator rapid transit system worldwide, with 472 rail stations. Over 120 colleges and universities are located in New York City, including Columbia University, New York University, and Rockefeller University, which have been ranked among the top universities in the world.  Anchored by Wall Street in the Financial District of Lower Manhattan, New York has been called both the most economically powerful city and the leading financial center of the world, and the city is home to the world's two largest stock exchanges by total market capitalization, the New York Stock Exchange and NASDAQ.", ﻿40.6635,73.9387
2,Los Angeles,California,3990456,3792621,+5.22,468.7  ,"1,213.9 ","8,484 ","3,276", ﻿34.0194°N 118.4108°W,"Los Angeles ( (listen); Spanish: Los Ángeles), officially the City of Los Angeles and often known by its initials L.A., is the most populous city in California, the second most populous city in the United States, after New York City, and the third most populous city in North America. With an estimated population of nearly four million, Los Angeles is the cultural, financial, and commercial center of Southern California. The city is known for its Mediterranean climate, ethnic diversity, Hollywood and the entertainment industry, and its sprawling metropolis. Los Angeles is the largest city on the West Coast of North America.
Los Angeles is in a large basin bounded by the Pacific Ocean on one side and by mountains as high as 10,000 feet (3,000 m) on the other. The city proper, which covers about 469 square miles (1,210 km2), is the seat of Los Angeles County, the most populated county in the country. Los Angeles is also the principal city of the Los Angeles metropolitan area, the second largest in the United States after that of New York City, with a population of 13.1 million. It is part of the Los Angeles-Long Beach combined statistical area, also the nation's second most populous area with a 2015 estimated population of 18.7 million.Los Angeles is one of the most substantial economic engines within the United States, with a diverse economy in a broad range of professional and cultural fields. Los Angeles is also famous as the home of Hollywood, a major center of the world entertainment industry. A global city, it has been ranked 6th in the Global Cities Index and 9th in the Global Economic Power Index. The Los Angeles metropolitan area also has a gross metropolitan product of $1.044 trillion (as of 2017), making it the third-largest in the world, after the Tokyo and New York metropolitan areas. Los Angeles hosted the 1932 and 1984 Summer Olympics and will host the event for a third time in 2028. The city also hosted the Miss Universe pageant twice, in 1990 and 2006, and was one of 9 American cities to host the 1994 FIFA World Cup and one of 8 to host the 1999 FIFA Women's World Cup, hosting the final match for both tournaments.
Historically home to the Chumash and Tongva, Los Angeles was claimed by Juan Rodríguez Cabrillo for Spain in 1542 along with the rest of what would become Alta California. The city was officially founded on September 4, 1781, by Spanish governor Felipe de Neve. It became a part of Mexico in 1821 following the Mexican War of Independence. In 1848, at the end of the Mexican–American War, Los Angeles and the rest of California were purchased as part of the Treaty of Guadalupe Hidalgo, becoming part of the United States. Los Angeles was incorporated as a municipality on April 4, 1850, five months before California achieved statehood. The discovery of oil in the 1890s brought rapid growth to the city. The completion of the Los Angeles Aqueduct in 1913, delivering water from Eastern California, later assured the city's continued rapid growth.", ﻿34.0194,118.4108
3,Chicago,Illinois,2705994,2695598,+0.39,227.3  ,588.7 ,"11,900 ","4,600", ﻿41.8376°N 87.6818°W,"Chicago ( (listen), locally also ), officially the City of Chicago, is the most populous city in Illinois, as well as the third most populous city in the United States. With an estimated population of 2,705,994 (2018), it is the most populous city in the Midwest. Chicago is the principal city of the Chicago metropolitan area, often referred to as Chicagoland, and the county seat of Cook County, the second most populous county in the United States. The metropolitan area, at nearly 10 million people, is the third-largest in the United States.
Located on the shores of freshwater Lake Michigan, Chicago was incorporated as a city in 1837 near a portage between the Great Lakes and the Mississippi River watershed and grew rapidly in the mid-19th century. After the Great Chicago Fire of 1871, which destroyed several square miles and left more than 100,000 homeless, the city made a concerted effort to rebuild. The construction boom accelerated population growth throughout the following decades, and by 1900 Chicago was the fifth largest city in the world. Chicago made noted contributions to urban planning and zoning standards, including new construction styles (including the Chicago School of architecture), the development of the City Beautiful Movement, and the steel-framed skyscraper.Chicago is an international hub for finance, culture, commerce, industry, technology, telecommunications, and transportation. It is the site of the creation of the first standardized futures contracts at the Chicago Board of Trade, which today is the largest and most diverse derivatives market gobally, generating 20% of all volume in commodities and financial futures. O'Hare International Airport is the one of the busiest airports in the world, and the region also has the largest number of U.S. highways and greatest amount of railroad freight. In 2012, Chicago was listed as an alpha global city by the Globalization and World Cities Research Network, and it ranked seventh in the entire world in the 2017 Global Cities Index. The Chicago area has one of the highest gross domestic products (GDP) in the world, generating $680 billion in 2017. In addition, the city has one of the world's most diversified and balanced economies, not being dependent on any one industry, with no single industry employing more than 14% of the workforce.Chicago's 58 million domestic and international visitors in 2018 made it the second most visited city in the nation, behind New York City's approximate 65 million visitors. The city ranked first place in the 2018 Time Out City Life Index, a global quality of life survey of 15,000 people in 32 cities. Landmarks in the city include Millennium Park, Navy Pier, the Magnificent Mile, the Art Institute of Chicago, Museum Campus, the Willis (Sears) Tower, Grant Park (Chicago), the Museum of Science and Industry, and Lincoln Park Zoo. Chicago's culture includes the visual arts, literature, film, theater, comedy (especially improvisational comedy), food, and music, particularly jazz, blues, soul, hip-hop, gospel, and electronic dance music including house music. Of the area's many colleges and universities, the University of Chicago, Northwestern University, and the University of Illinois at Chicago are classified as ""highest research"" doctoral universities. Chicago has professional sports teams in each of the major professional leagues, including two Major League Baseball teams.", ﻿41.8376,87.6818
4,Houston,Texas,2325502,2100263,+10.72,637.5  ,"1,651.1 ","3,613 ","1,395", ﻿29.7866°N 95.3909°W,"Houston ( (listen) HEW-stən) is the most populous city in the U.S. state of Texas, fourth most populous city in the United States, as well as the sixth most populous in North America, with an estimated 2018 population of 2,328,419. Located in Southeast Texas near Galveston Bay and the Gulf of Mexico, it is the seat of Harris County and the principal city of the Greater Houston metropolitan area, which is the fifth most populous metropolitan statistical area in the United States and the second most populous in Texas after the Dallas-Fort Worth metroplex, with a population of 6,997,384 in 2018.Comprising a total area of 637.4 square miles (1,651 km2), Houston is the eighth most expansive city in the United States (including consolidated city-counties). It is the largest city in the United States by total area, whose government is similarly not consolidated with that of a county or borough. Though primarily in Harris County, small portions of the city extend into Fort Bend and Montgomery counties, bordering other principal communities of Greater Houston such as Sugar Land and The Woodlands.
The city of Houston was founded by land speculators on August 30, 1836, at the confluence of Buffalo Bayou and White Oak Bayou (a point now known as Allen's Landing) and incorporated as a city on June 5, 1837. The city is named after former General Sam Houston, who was president of the Republic of Texas and had won Texas' independence from Mexico at the Battle of San Jacinto 25 miles (40 km) east of Allen's Landing. After briefly serving as the capital of the Texas Republic in the late 1830s, Houston grew steadily into a regional trading center for the remainder of the 19th century.The arrival of the 20th century saw a convergence of economic factors which fueled rapid growth in Houston, including a burgeoning port and railroad industry, the decline of Galveston as Texas' primary port following a devastating 1900 hurricane, the subsequent construction of the Houston Ship Channel, and the Texas oil boom. In the mid-20th century, Houston's economy diversified as it became home to the Texas Medical Center—the world's largest concentration of healthcare and research institutions—and NASA's Johnson Space Center, where the Mission Control Center is located.
Houston's economy since the late-20th century has a broad industrial base in energy, manufacturing, aeronautics, and transportation. Leading in healthcare sectors and building oilfield equipment, Houston has the second most Fortune 500 headquarters of any U.S. municipality within its city limits (after New York City). The Port of Houston ranks first in the United States in international waterborne tonnage handled and second in total cargo tonnage handled. Nicknamed the ""Space City"" and ""H-Town"", Houston has become a global city, with strengths in culture, medicine, and research. The city has a population from various ethnic and religious backgrounds and a large and growing international community. Houston is the most diverse metropolitan area in Texas and has been described as the most racially and ethnically diverse major metropolis in the U.S. It is home to many cultural institutions and exhibits, which attract more than 7 million visitors a year to the Museum District. Houston has an active visual and performing arts scene in the Theater District and offers year-round resident companies in all major performing arts.", ﻿29.7866,95.3909
5,Phoenix,Arizona,1660272,1445632,+14.85,517.6  ,"1,340.6 ","3,120 ","1,200", ﻿33.5722°N 112.0901°W,Summary not be fetched due to disambiguation, ﻿33.5722,112.0901
6,Philadelphia,Pennsylvania,1584138,1526006,+3.81,134.2  ,347.6 ,"11,683 ","4,511", ﻿40.0094°N 75.1333°W,"Philadelphia (Ancient Greek: φίλος ἀδελφός), known colloquially as Philly, is the largest city in the U.S. state and Commonwealth of Pennsylvania, and the sixth-most populous U.S. city, with a 2018 census-estimated population of 1,584,138. Since 1854, the city has been coterminous with Philadelphia County, the most populous county in Pennsylvania and the urban core of the eighth-largest U.S. metropolitan statistical area, with over 6 million residents as of 2017. Philadelphia is also the economic and cultural anchor of the greater Delaware Valley, located along the lower Delaware and Schuylkill Rivers, within the Northeast megalopolis. The Delaware Valley's population of 7.2 million ranks it as the eighth-largest combined statistical area in the United States.William Penn, an English Quaker, founded the city in 1682 to serve as capital of the Pennsylvania Colony. Philadelphia played an instrumental role in the American Revolution as a meeting place for the Founding Fathers of the United States, who signed the Declaration of Independence in 1776 at the Second Continental Congress, and the Constitution at the Philadelphia Convention of 1787. Several other key events occurred in Philadelphia during the Revolutionary War including the First Continental Congress, the preservation of the Liberty Bell, the Battle of Germantown, and the Siege of Fort Mifflin. Philadelphia remained the nation's largest city until being overtaken by New York City in 1790; the city was also one of the nation's capitals during the revolution, serving as temporary U.S. capital while Washington, D.C. was under construction. In the 19th century, Philadelphia became a major industrial center and a railroad hub. The city grew from an influx of European immigrants, most of whom came from Ireland, Italy and Germany—the three largest reported ancestry groups in the city as of 2015. In the early 20th century, Philadelphia became a prime destination for African Americans during the Great Migration after the Civil War, as well as Puerto Ricans. The city's population doubled from one million to two million people between 1890 and 1950.
The Philadelphia area's many universities and colleges make it a top study destination, as the city has evolved into an educational and economic hub. According to the Bureau of Economic Analysis, the Philadelphia area had a gross domestic product of US$445 billion in 2017, the eighth-largest metropolitan economy in the United States. Philadelphia is the center of economic activity in Pennsylvania and is home to five Fortune 1000 companies. The Philadelphia skyline is expanding, with a market of almost 81,900 commercial properties in 2016, including several nationally prominent skyscrapers. Philadelphia has more outdoor sculptures and murals than any other American city. Fairmount Park, when combined with the adjacent Wissahickon Valley Park in the same watershed, is one of the largest contiguous urban park areas in the United States. The city is known for its arts, culture, cuisine, and colonial history, attracting 42 million domestic tourists in 2016 who spent US$6.8 billion, generating an estimated $11 billion in total economic impact in the city and surrounding four counties of Pennsylvania. Philadelphia has also emerged as a biotechnology hub.Philadelphia is the birthplace of the United States Marine Corps, and is also the home of many U.S. firsts, including the first library (1731), hospital (1751), medical school (1765), national capital (1774), stock exchange (1790), zoo (1874), and business school (1881). Philadelphia contains 67 National Historic Landmarks and the World Heritage Site of Independence Hall. The city became a member of the Organization of World Heritage Cities in 2015, as the first World Heritage City in the United States. Although Philadelphia is rapidly undergoing gentrification, the city actively maintains mitigation strategies to minimize displacement of homeowners in gentrifying neighborhoods.", ﻿40.0094,75.1333
7,San Antonio,Texas,1532233,1327407,+15.43,461.0  ,"1,194.0 ","3,238 ","1,250", ﻿29.4724°N 98.5251°W,"San Antonio (; from Spanish, ""Saint Anthony""), officially the City of San Antonio, is the seventh-most populous city in the United States, and the second-most populous city in both Texas and the Southern United States, with more than 1.5 million residents. Founded as a Spanish mission and colonial outpost in 1718, the city became the first chartered civil settlement in present-day Texas in 1731. The area was still part of the Spanish Empire, and later of the Mexican Republic. Today it is the state's oldest municipality.The city's deep history is contrasted with its rapid recent growth during the past few decades. It was the fastest-growing of the top ten largest cities in the United States from 2000 to 2010, and the second from 1990 to 2000. Straddling the regional divide between South and Central Texas, San Antonio anchors the southwestern corner of an urban megaregion colloquially known as the ""Texas Triangle"".
San Antonio serves as the seat of Bexar County; recent annexations have extended the city's boundaries into Medina County and, for a tiny area near the city of Garden Ridge, into Comal County. Since San Antonio was founded during the Spanish Colonial Era, it has a church (San Fernando Cathedral) in its center, on the main civic plaza in front, a characteristic of many Spanish-founded cities, towns, and villages in Spain and Latin America. As with many other urban centers in the Southwestern United States, areas outside the city limits are sparsely populated.
San Antonio is the center of the San Antonio–New Braunfels metropolitan statistical area. Commonly called Greater San Antonio, the metro area has a population of 2,473,974 based on the 2017 U.S. census estimate, making it the 24th-largest metropolitan area in the United States and third-largest in Texas. Growth along the Interstate 35 and Interstate 10 corridors to the north, west and east make it likely that the metropolitan area will continue to expand.
San Antonio was named by a 1691 Spanish expedition for Saint Anthony of Padua, whose feast day is June 13. The city contains five 18th-century Spanish frontier missions, including The Alamo and San Antonio Missions National Historical Park, which together were designated UNESCO World Heritage sites in 2015. Other notable attractions include the River Walk, the Tower of the Americas, SeaWorld, the Alamo Bowl, and Marriage Island. Commercial entertainment includes Six Flags Fiesta Texas and Morgan's Wonderland amusement parks. According to the San Antonio Convention and Visitors Bureau, the city is visited by about 32 million tourists a year. It is home to the five-time NBA champion San Antonio Spurs, and hosts the annual San Antonio Stock Show & Rodeo, one of the largest such events in the U.S.
The U.S. Armed Forces have numerous facilities in and around San Antonio; Fort Sam Houston is the only one within the city limits. Lackland Air Force Base, Randolph Air Force Base, Lackland AFB/Kelly Field Annex, Camp Bullis, and Camp Stanley are outside the city limits. Kelly Air Force Base operated out of San Antonio until 2001, when the airfield was transferred to Lackland AFB. The remaining parts of the base were developed as Port San Antonio, an industrial/business park and aerospace complex. San Antonio is home to six Fortune 500 companies and the South Texas Medical Center, the only medical research and care provider in the South Texas region.", ﻿29.4724,98.5251
8,San Diego,California,1425976,1307402,+9.07,325.2  ,842.3 ,"4,325 ","1,670", ﻿32.8153°N 117.1350°W,"San Diego (, Spanish: [san ˈdjeɣo]; Spanish for ""Saint Didacus"") is a city in the U.S. state of California. It is in San Diego County, on the coast of the Pacific Ocean in Southern California, approximately 120 miles (190 km) south of Los Angeles and immediately adjacent to the border with Mexico.
With an estimated population of 1,419,516 as of July 1, 2017, San Diego is the eighth-largest city in the United States and second-largest in California. It is part of the San Diego–Tijuana conurbation, the second-largest transborder agglomeration between the U.S. and a bordering country after Detroit–Windsor, with a population of 4,922,723 people. The city is known for its mild year-round climate, natural deep-water harbor, extensive beaches, long association with the United States Navy, and recent emergence as a healthcare and biotechnology development center.
San Diego has been called ""the birthplace of California"". Historically home to the Kumeyaay people, it was the first site visited by Europeans on what is now the West Coast of the United States. Upon landing in San Diego Bay in 1542, Juan Rodríguez Cabrillo claimed the area for Spain, forming the basis for the settlement of Alta California 200 years later. The Presidio and Mission San Diego de Alcalá, founded in 1769, formed the first European settlement in what is now California. In 1821, San Diego became part of the newly declared Mexican Empire, which reformed as the First Mexican Republic two years later. California became part of the United States in 1848 following the Mexican–American War and was admitted to the union as a state in 1850.
The city is the seat of San Diego County and is the economic center of the region as well as the San Diego–Tijuana metropolitan area. San Diego's main economic engines are military and defense-related activities, tourism, international trade, and manufacturing. The presence of the University of California, San Diego (UCSD), with the affiliated UCSD Medical Center, has helped make the area a center of research in biotechnology.", ﻿32.8153,117.1350
9,Dallas,Texas,1345047,1197816,+12.29,340.9  ,882.9 ,"3,866 ","1,493", ﻿32.7933°N 96.7665°W,"Dallas (), officially the City of Dallas, is a city in the U.S. state of Texas and the seat of Dallas County, with portions extending into Collin, Denton, Kaufman and Rockwall counties. With an estimated 2018 population of 1,345,047, it is the ninth most-populous city in the U.S. and third in Texas after Houston and San Antonio. It is also the eighteenth most-populous city in North America as of 2015. Located in North Texas, the city of Dallas is the main core of the largest metropolitan area in the Southern United States and the largest inland metropolitan area in the U.S. that lacks any navigable link to the sea. It is the most populous city in the Dallas–Fort Worth metroplex, the fourth-largest metropolitan area in the country at 7.5 million people as of 2018. The city's combined statistical area is the seventh-largest in the U.S. as of 2017, with 7,846,293 residents.Dallas and nearby Fort Worth were initially developed due to the construction of major railroad lines through the area allowing access to cotton, cattle and later oil in North and East Texas. The construction of the Interstate Highway System reinforced Dallas's prominence as a transportation hub, with four major interstate highways converging in the city and a fifth interstate loop around it. Dallas then developed as a strong industrial and financial center and a major inland port, due to the convergence of major railroad lines, interstate highways and the construction of Dallas/Fort Worth International Airport, one of the largest and busiest airports in the world.A ""beta(+)"" global city, the economy of Dallas has been considered diverse with dominant sectors including defense, financial services, information technology, telecommunications, and transportation. Dallas is home to 9 Fortune 500 companies within the city limits. The Dallas–Fort Worth metroplex hosts additional Fortune 500 companies, including American Airlines (Fort Worth), ExxonMobil (Irving), and J. C. Penney (Plano). Over 41 colleges and universities are in its metropolitan area which is the most of any metropolitan area in Texas. The city has a population from a myriad of ethnic and religious backgrounds and one of the largest LGBT communities in the U.S. WalletHub named Dallas the fifth most-diverse city in the U.S. in 2018.", ﻿32.7933,96.7665
10,San Jose,California,1030119,945942,+8.90,177.5  ,459.7 ,"5,777 ","2,231", ﻿37.2967°N 121.8189°W,"San Jose (; Spanish for 'Saint Joseph'; Spanish: [saŋ xoˈse]), officially the City of San José, is the economic, cultural and political center of Silicon Valley, and the largest city in Northern California (both by population and area). With an estimated 2017 population of 1,035,317, it is the third-most populous city in California (after Los Angeles and San Diego) and the tenth-most populous in United States. Located in the center of the Santa Clara Valley, on the southern shore of San Francisco Bay, San Jose covers an area of 179.97 square miles (466.1 km2). San Jose is the county seat of Santa Clara County, the most affluent county in California and one of the most affluent counties in the United States. San Jose is the most populous city in both the San Francisco Bay Area and the San Jose-San Francisco-Oakland Combined Statistical Area, which contain 7.7 million and 8.7 million people respectively.San Jose is a global city, notable as a center of innovation, for its affluence, Mediterranean climate, and extremely high cost of living. San Jose's location within the booming high tech industry, as a cultural, political, and economic center has earned the city the nickname ""Capital of Silicon Valley"". San Jose is one of the wealthiest major cities in the United States and the world, and has the third highest GDP per capita in the world (after Zürich, Switzerland and Oslo, Norway), according to the Brookings Institution. The San Jose Metropolitan Area has the most millionaires and the most billionaires in the United States per capita. With a median home price of $1,085,000, San Jose has the most expensive housing market in the country and the fifth most expensive housing market in the world, according to the 2017 Demographia International Housing Affordability Survey. Major global tech companies including Cisco Systems, eBay, Adobe Systems, PayPal, Broadcom, Samsung, Acer, Hewlett Packard Enterprise, and Western Digital maintain their headquarters in San Jose, in the center of Silicon Valley.
Before the arrival of the Spanish, the area around San Jose was inhabited by the Tamien nation of the Ohlone peoples of California. San Jose was founded on November 29, 1777, as the Pueblo de San José de Guadalupe, the first city founded in the Californias. It then became a part of Mexico in 1821 after the Mexican War of Independence. Following the American Conquest of California during the Mexican–American War, the territory was ceded to the United States in 1848. After California achieved statehood two years later, San Jose became the state's first capital. Following World War II, San Jose experienced an economic boom, with a rapid population growth and aggressive annexation of nearby cities and communities carried out in the 1950s and 1960s. The rapid growth of the high-technology and electronics industries further accelerated the transition from an agricultural center to an urbanized metropolitan area. Results of the 1990 U.S. Census indicated that San Jose had officially surpassed San Francisco as the most populous city in Northern California. By the 1990s, San Jose and the rest of Silicon Valley had become the global center for the high tech and internet industries, making it California's fastest-growing economy.", ﻿37.2967,121.8189
